Base,Current,Temp,Time
-2.6e-07,2.289e-07,-5.6653e-05,0.4561903476715088
3.9e-07,3.561e-07,-5.6133e-05,0.8984003067016602
1.04e-06,4.07e-07,-5.6653e-05,1.3330390453338623
0.0,4.07e-07,-5.6004e-05,1.7778735160827637
2.6e-07,2.798e-07,-5.6263e-05,2.2293670177459717
0.0,1.272e-07,-5.6133e-05,2.679687976837158
-6.5e-07,3.052e-07,-5.6004e-05,3.119931221008301
0.0,4.07e-07,-5.6263e-05,3.5577473640441895
-1.3e-07,3.815e-07,-5.5614e-05,4.0077149868011475
5.2e-07,3.561e-07,-5.6263e-05,4.447926044464111
-2.6e-07,3.815e-07,-5.6783e-05,4.8996734619140625
6.5e-07,2.544e-07,-5.7043e-05,5.349463224411011
-7.8e-07,2.544e-07,-5.6913e-05,5.789733409881592
5.2e-07,5.087e-07,-5.5744e-05,6.24213981628418
-1.3e-07,2.035e-07,-5.7303e-05,6.67839789390564
-9.1e-07,3.307e-07,-5.7043e-05,7.129148483276367
6.5e-07,3.052e-07,-5.6263e-05,7.570086717605591
-3.9e-07,2.798e-07,-5.6783e-05,8.020104169845581
-1.3e-07,3.815e-07,-5.6783e-05,8.470622539520264
6.5e-07,3.815e-07,-5.6653e-05,8.913185119628906
-3.9e-07,3.052e-07,-5.7173e-05,9.360679149627686
0.0,2.544e-07,-5.7563e-05,9.800294160842896
-1.3e-07,3.052e-07,-5.6913e-05,10.260078191757202
1.3e-07,3.052e-07,-5.6913e-05,10.699420928955078
-3.9e-07,3.052e-07,-5.7173e-05,11.13942837715149
6.5e-07,4.07e-07,-5.7693e-05,11.579433917999268
-2.6e-07,2.035e-07,-5.7823e-05,12.021115779876709
1.3e-07,3.052e-07,-5.7173e-05,12.458305597305298
7.8e-07,2.798e-07,-5.6913e-05,12.910124063491821
-2.6e-07,3.307e-07,-5.7693e-05,13.360174894332886
-2.6e-07,3.052e-07,-5.7693e-05,13.805826425552368
-6.5e-07,3.307e-07,-5.6783e-05,14.249721765518188
-2.6e-07,3.307e-07,-5.7303e-05,14.689508438110352
2.6e-07,2.544e-07,-5.7433e-05,15.13205361366272
1.3e-07,2.544e-07,-5.7433e-05,15.580152034759521
2.6e-07,2.544e-07,-5.7693e-05,16.020115852355957
-2.6e-07,3.561e-07,-5.7823e-05,16.46700930595398
1.3e-07,3.052e-07,-5.8213e-05,16.917017936706543
5.2e-07,3.561e-07,-5.8602e-05,17.34702157974243
-2.6e-07,2.035e-07,-5.8602e-05,17.798457860946655
-1.3e-07,3.561e-07,-5.8213e-05,18.232325315475464
-1.3e-07,4.07e-07,-5.7953e-05,18.679086923599243
-2.6e-07,2.798e-07,-5.8083e-05,19.129199266433716
1.3e-07,1.781e-07,-5.8083e-05,19.57750153541565
-3.9e-07,3.561e-07,-5.8472e-05,20.017632722854614
-3.9e-07,2.798e-07,-5.8342e-05,20.469771146774292
5.2e-07,3.052e-07,-5.8083e-05,20.909877061843872
0.0,3.052e-07,-5.8862e-05,21.360480070114136
-1.3e-07,3.815e-07,-5.9122e-05,21.80966305732727
3.9e-07,2.798e-07,-5.8602e-05,22.249252796173096
-3.9e-07,3.561e-07,-5.8602e-05,22.692209243774414
-5.2e-07,3.815e-07,-5.8992e-05,23.142439603805542
-5.2e-07,3.815e-07,-5.8992e-05,23.583046674728394
-5.2e-07,4.579e-07,-5.9252e-05,24.039778470993042
0.0,3.307e-07,-5.8862e-05,24.47702693939209
-1.3e-07,1.781e-07,-5.9512e-05,24.926842212677002
-5.2e-07,2.798e-07,-5.8862e-05,25.369109630584717
-2.6e-07,3.815e-07,-5.9252e-05,25.811983108520508
2.6e-07,3.561e-07,-5.9122e-05,26.261784076690674
-2.6e-07,2.544e-07,-5.9512e-05,26.701791524887085
-2.6e-07,2.035e-07,-5.9122e-05,27.142670392990112
-1.3e-07,3.052e-07,-5.9902e-05,27.589319944381714
-6.5e-07,3.307e-07,-6.0421e-05,28.036560773849487
3.9e-07,3.052e-07,-5.9382e-05,28.47501492500305
-7.8e-07,3.561e-07,-6.0162e-05,28.92457151412964
5.2e-07,2.289e-07,-6.0811e-05,29.374600172042847
5.2e-07,2.544e-07,-6.0681e-05,29.814799070358276
-2.6e-07,2.798e-07,-5.9902e-05,30.26185703277588
-9.1e-07,2.544e-07,-5.9772e-05,30.70192289352417
-3.9e-07,4.324e-07,-6.0032e-05,31.150291919708252
-5.2e-07,2.544e-07,-6.0551e-05,31.593608856201172
6.5e-07,2.289e-07,-6.0551e-05,32.04036521911621
9.1e-07,1.272e-07,-5.9902e-05,32.4903724193573
1.3e-07,2.289e-07,-6.1331e-05,32.935073137283325
-1.3e-07,4.579e-07,-6.0421e-05,33.38643169403076
0.0,2.798e-07,-6.0162e-05,33.82780933380127
7.8e-07,2.798e-07,-6.1331e-05,34.277353048324585
-1.3e-07,1.781e-07,-6.0941e-05,34.71899652481079
1.3e-07,3.052e-07,-6.1851e-05,35.16007375717163
0.0,3.052e-07,-6.1851e-05,35.61275768280029
