Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time,Time_stamp
-0.001107859,0.0,-0.001520934,2.34e-07,9.9e+37,1.836552619934082,"03 04 2019, 12_14_14"
-0.001247932,5.09e-08,-0.001539645,-7.8e-08,9.9e+37,3.6113314628601074,"03 04 2019, 12_14_16"
-1.4163e-05,-1.017e-07,-0.000336931,2.73e-07,-0.000742079,5.380316495895386,"03 04 2019, 12_14_18"
-0.000371624,5.09e-08,-0.000539765,6.5e-08,-0.000377758,7.14763879776001,"03 04 2019, 12_14_19"
-0.001100712,-1.272e-07,-0.000814455,4.29e-07,-0.000341024,8.919163942337036,"03 04 2019, 12_14_21"
-0.001628393,7.63e-08,-0.001789647,3.9e-08,-0.000920316,10.688856840133667,"03 04 2019, 12_14_23"
-0.000329264,2.54e-08,-6.7568e-05,2.6e-08,-0.001235796,12.462072134017944,"03 04 2019, 12_14_25"
-0.000390076,-5.09e-08,-0.000174638,9.1e-08,-0.00081886,14.229666709899902,"03 04 2019, 12_14_27"
-0.001154377,-7.63e-08,-0.000589012,2.86e-07,-0.000364712,16.00330901145935,"03 04 2019, 12_14_28"
-0.001680758,-7.63e-08,-0.00104211,-3.9e-08,-0.001131066,17.775157690048218,"03 04 2019, 12_14_30"
-0.000851748,-5.09e-08,-0.000342388,3.64e-07,-0.001072632,19.54271912574768,"03 04 2019, 12_14_32"
