Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time
-0.00282119,-8.1622e-06,-0.002858537,0.001719785,-0.001383139,1.9913444519042969
-0.002841202,-8.2119e-06,-0.002825778,0.00172018,-0.001383559,3.8404815196990967
-0.002807551,-8.0875e-06,-0.002811375,0.001720779,-0.001383203,5.6244120597839355
-0.002836485,-8.3115e-06,-0.002834828,0.001719759,-0.00138305,7.396642208099365
-0.002834191,-8.3115e-06,-0.002841202,0.001719963,-0.001382756,9.172569513320923
-0.002885432,-8.2866e-06,-0.002933486,0.001719708,-0.001383356,10.948325634002686
-0.002917936,-8.2617e-06,-0.002926731,0.001720014,-0.001383496,12.708321809768677
-0.002861214,-8.0875e-06,-0.002879314,0.001719734,-0.001383126,14.486262321472168
-0.002852928,-8.0875e-06,-0.002836613,0.001720206,-0.001383024,16.249364614486694
-0.002877019,-7.988e-06,-0.002856497,0.001719505,-0.001382973,18.02281427383423
-0.002893972,-8.2617e-06,-0.002859812,0.001720167,-0.001383419,19.799800157546997
-0.002880588,-8.187e-06,-0.002879186,0.00171967,-0.001383024,21.560811519622803
-0.002919338,-8.1124e-06,-0.002907866,0.001719696,-0.001383088,23.335619688034058
-0.002941644,-8.2617e-06,-0.002907484,0.001719466,-0.001382846,25.099298238754272
-0.002895629,-8.1373e-06,-0.002912072,0.001719632,-0.001382807,26.87025213241577
-0.002852164,-8.2617e-06,-0.002835211,0.001719619,-0.001383126,28.639387369155884
-0.002876127,-8.0377e-06,-0.002885177,0.001719874,-0.001383075,30.407191276550293
-0.002877912,-8.1622e-06,-0.002894737,0.001719275,-0.001382769,32.16948175430298
-0.002878294,-8.2119e-06,-0.002860831,0.001719734,-0.001382667,33.94950819015503
-0.002855095,0.0028704727,-0.002851909,0.001719568,-0.001382973,35.68094611167908
0.99432328,0.0028704976,0.99430797,0.001719454,-0.001382782,37.26129674911499
0.99431817,0.0028707962,0.99430032,0.001719747,-0.001381087,38.839775800704956
0.9943118,0.0028705972,0.99438196,0.001720639,-0.001379098,40.42250323295593
0.99430032,0.0028707216,0.99430669,0.001721544,-0.001377135,42.00088167190552
0.99430159,0.0028705723,0.99433093,0.001722347,-0.001375185,43.59783887863159
0.99429649,0.0028706967,0.99433986,0.001723481,-0.001373209,45.18998098373413
-0.002818513,-8.0129e-06,-0.002810738,0.00172394,-0.001371476,46.97567057609558
-0.002766762,-7.9382e-06,-0.002762938,0.00172468,-0.001370966,48.749937534332275
-0.002810992,-8.0377e-06,-0.00277288,0.00172482,-0.001371552,50.528270959854126
-0.00280207,-7.9133e-06,-0.002752486,0.00172417,-0.00137154,52.29050922393799
-0.002750956,-7.9631e-06,-0.002806786,0.001724323,-0.001371845,54.06913089752197
-0.002825014,0.0043115213,-0.002806659,0.001725202,-0.001372228,55.80959343910217
1.4934509,0.0043116208,1.493489,0.001723838,-0.001372011,57.24521255493164
1.4935018,0.0043118199,1.4935018,0.001725151,-0.001368417,58.679972887039185
1.4934509,0.004311795,1.4934763,0.001726477,-0.001364784,60.10997676849365
1.4935018,0.004311795,1.4934763,0.0017283,-0.001360603,61.54500389099121
1.4935018,0.0043118945,1.4935145,0.001729765,-0.001357314,62.97085118293762
1.4935272,0.0043120936,1.4934636,0.001731155,-0.001353554,64.39956140518188
1.4935526,-7.8884e-06,1.493578,0.001733398,-0.001349373,65.86990284919739
-0.002739102,-7.9631e-06,-0.002766125,0.001734915,-0.001346544,67.6433744430542
-0.002721894,-7.988e-06,-0.002730434,0.001735718,-0.001347181,69.41802835464478
-0.00279404,-7.9631e-06,-0.002732856,0.001735361,-0.001347602,71.18285799026489
-0.002773135,-7.9133e-06,-0.002728268,0.001735336,-0.001348621,72.97117185592651
-0.002777597,-7.9382e-06,-0.002731454,0.001735183,-0.001348647,74.75025653839111
